model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,test_mae,test_rmse,test_r2,fit_strategy,tempo_total_fit_s,test_mae_ensemble,test_rmse_ensemble,test_r2_ensemble,time_limit
LightGBM,-0.008254894917223084,-0.008121837611730022,root_mean_squared_error,0.5869662761688232,0.1574268341064453,42.89397096633911,0.5869662761688232,0.1574268341064453,42.89397096633911,1,True,5,0.007249748520094861,0.0152734697691056,0.9986208502951641,parallel,46.61800376700012,0.004637371751568475,0.012426201898341897,0.9990871218697384,50
XGBoost,-0.008395842201886392,-0.00811171984684901,root_mean_squared_error,0.1086270809173584,0.03931593894958496,42.76767683029175,0.1086270809173584,0.03931593894958496,42.76767683029175,1,True,4,0.007091385803495542,0.015386376373162815,0.9986003846562301,parallel,46.61800376700012,0.004637371751568475,0.012426201898341897,0.9990871218697384,50
CatBoost,-0.012937044913300009,-0.012603256832643735,root_mean_squared_error,0.01031947135925293,0.004190921783447266,42.3428316116333,0.01031947135925293,0.004190921783447266,42.3428316116333,1,True,3,0.015183812476722068,0.024837557384110646,0.9963528488815135,parallel,46.61800376700012,0.004637371751568475,0.012426201898341897,0.9990871218697384,50
NeuralNetFastAI,-0.013516494907084696,-0.014334990805293138,root_mean_squared_error,0.766477108001709,0.0864720344543457,34.978447675704956,0.766477108001709,0.0864720344543457,34.978447675704956,1,True,1,0.014269157953519358,0.021631409662834344,0.9972336594939014,parallel,46.61800376700012,0.004637371751568475,0.012426201898341897,0.9990871218697384,50
LightGBMXT,-0.02061625858056377,-0.020462713534183097,root_mean_squared_error,0.7907707691192627,0.21080756187438965,42.95698881149292,0.7907707691192627,0.21080756187438965,42.95698881149292,1,True,6,0.018387066756520104,0.03776953060795175,0.9915662802274644,parallel,46.61800376700012,0.004637371751568475,0.012426201898341897,0.9990871218697384,50
NeuralNetTorch,-0.029229591196040888,-0.028704793393986208,root_mean_squared_error,0.26532959938049316,0.04083895683288574,39.668758392333984,0.26532959938049316,0.04083895683288574,39.668758392333984,1,True,2,0.05062659092847258,0.06561976173117713,0.9745431132957164,parallel,46.61800376700012,0.004637371751568475,0.012426201898341897,0.9990871218697384,50
LightGBMXT,-0.011034056300894862,-0.009937861121691724,root_mean_squared_error,25.290175199508667,1.1958403587341309,99.4540708065033,25.290175199508667,1.1958403587341309,99.4540708065033,1,True,1,0.007953879970062683,0.022309246574691424,0.9970575723112158,sequential,102.13283096399937,0.007953879970062683,0.022309246574691424,0.9970575723112158,100
WeightedEnsemble_L2,-0.011034056300894862,-0.009937861121691724,root_mean_squared_error,25.297462701797485,1.196106195449829,99.4555823802948,0.007287502288818359,0.0002658367156982422,0.0015115737915039062,2,True,2,0.007953879970062683,0.022309246574691424,0.9970575723112158,sequential,102.13283096399937,0.007953879970062683,0.022309246574691424,0.9970575723112158,100
WeightedEnsemble_L2,-0.00658822179606853,-0.006247445998436156,root_mean_squared_error,3.0082802772521973,0.4373433589935303,186.70023608207703,0.005383729934692383,0.000308990478515625,0.010913848876953125,2,True,9,0.005120076439657377,0.011429080956140017,0.9992277487685741,parallel,91.98039297099967,0.005120076439657377,0.011429080956140017,0.9992277487685741,100
LightGBMLarge,-0.007449421509725178,-0.006776537236857577,root_mean_squared_error,2.534078598022461,0.18776583671569824,58.73701572418213,2.534078598022461,0.18776583671569824,58.73701572418213,1,True,8,0.004705091825476465,0.013369960417597337,0.9989431916536231,parallel,91.98039297099967,0.005120076439657377,0.011429080956140017,0.9992277487685741,100
LightGBM,-0.007726485644694483,-0.007500837854535181,root_mean_squared_error,1.0046751499176025,0.2861056327819824,87.74459791183472,1.0046751499176025,0.2861056327819824,87.74459791183472,1,True,7,0.006014971441726027,0.01419495680101013,0.9988087466309228,parallel,91.98039297099967,0.005120076439657377,0.011429080956140017,0.9992277487685741,100
XGBoost,-0.008038112858429302,-0.00777277721602156,root_mean_squared_error,0.1480255126953125,0.04346942901611328,87.42842221260071,0.1480255126953125,0.04346942901611328,87.42842221260071,1,True,5,0.00620074657711296,0.014602143336779127,0.9987394235019075,parallel,91.98039297099967,0.005120076439657377,0.011429080956140017,0.9992277487685741,100
ExtraTreesMSE,-0.009449801164312115,-0.00961674103490801,root_mean_squared_error,0.32079243659973145,0.20579910278320312,40.523884296417236,0.32079243659973145,0.20579910278320312,40.523884296417236,1,True,1,0.01346220416787059,0.018125023528610614,0.9980578035786979,parallel,91.98039297099967,0.005120076439657377,0.011429080956140017,0.9992277487685741,100
CatBoost,-0.011467900270837396,-0.011196169854864645,root_mean_squared_error,0.010078191757202148,0.004375457763671875,86.77052116394043,0.010078191757202148,0.004375457763671875,86.77052116394043,1,True,4,0.012183413247682972,0.021451224769671876,0.9972795535687876,parallel,91.98039297099967,0.005120076439657377,0.011429080956140017,0.9992277487685741,100
NeuralNetFastAI,-0.018591150704448365,-0.019430373578604335,root_mean_squared_error,0.5301778316497803,0.12127280235290527,55.1900897026062,0.5301778316497803,0.12127280235290527,55.1900897026062,1,True,2,0.02521387386312571,0.03323521571748514,0.9934697020695495,parallel,91.98039297099967,0.005120076439657377,0.011429080956140017,0.9992277487685741,100
LightGBMXT,-0.01900871737400303,-0.018916796057587032,root_mean_squared_error,0.8892297744750977,0.2404329776763916,87.59024453163147,0.8892297744750977,0.2404329776763916,87.59024453163147,1,True,6,0.01701623949953755,0.03523624062439063,0.9926596777630351,parallel,91.98039297099967,0.005120076439657377,0.011429080956140017,0.9992277487685741,100
NeuralNetTorch,-0.029229591196040888,-0.028704793393986208,root_mean_squared_error,0.19962668418884277,0.0351102352142334,63.96669054031372,0.19962668418884277,0.0351102352142334,63.96669054031372,1,True,3,0.05062659092847258,0.06561976173117713,0.9745431132957164,parallel,91.98039297099967,0.005120076439657377,0.011429080956140017,0.9992277487685741,100
